cluster_id,ra,dec,parallax,pmra,pmdec,n_members,l,b,age_myr
COIN-Gaia_13,83.186,42.087,1.927,-3.828,-1.676,130,167.4587076357,4.776456048952835,186.20890993778679
COIN-Gaia_14,77.696,39.195,1.043,1.331,-6.598,19,167.47618309794234,-0.2930723635088207,426.5796312095559
COIN-Gaia_15,76.09,35.831,0.824,0.44,-3.781,87,169.4073556055073,-3.3283909482352962,100.0
COIN-Gaia_16,80.179,37.438,0.622,1.262,-3.749,25,170.03828783202528,0.2699329454523906,25.703948796691975
COIN-Gaia_17,81.244,37.558,0.885,0.358,-4.297,67,170.41766932417042,1.034399185695447,398.10752023765514
COIN-Gaia_18,78.408,35.498,0.953,0.767,-4.955,39,170.7977334506711,-2.013681346696276,177.82794100389228
COIN-Gaia_19,82.188,34.29,0.774,-1.477,-4.641,77,173.55677162034868,-0.15334634311867143,107.15186464071414
COIN-Gaia_2,15.06,55.409,0.787,-4.457,-1.933,115,124.1915956580634,-7.4412163932461315,660.6929837429628
COIN-Gaia_20,78.634,31.691,0.911,0.548,-1.455,36,174.0038957084834,-4.082347886319334,85.1137701777428
COIN-Gaia_21,84.766,28.402,0.697,-0.115,-3.849,26,179.69624531109784,-1.5036767617277045,28.18381693478142
COIN-Gaia_22,91.06,31.602,0.49,-0.708,-3.309,83,179.72144210817584,4.815029297322766,301.99485372543654
COIN-Gaia_23,87.449,27.008,1.032,-0.318,-0.928,91,182.12707681892155,-0.20843711268469206,128.8248533293805
COIN-Gaia_24,90.693,23.203,0.965,2.536,-2.954,47,186.89279840477462,0.4157972733785811,83.17639172213713
COIN-Gaia_25,91.691,20.276,1.201,-0.499,-2.595,83,189.8983636341674,-0.21119252226472152,562.341325190349
COIN-Gaia_26,83.771,15.721,0.688,0.267,-2.376,62,190.0089851653607,-9.01036306812973,169.8241862446276
COIN-Gaia_27,85.76,13.743,0.912,0.697,-3.594,57,192.72808278692872,-8.387436464939936,724.4353873869618
COIN-Gaia_28,96.333,11.159,0.59,-1.12,-0.942,90,200.04055581966293,-0.6301512864059063,54.954058423872254
COIN-Gaia_29,15.548,63.648,0.313,-2.654,-0.317,11,124.12508400091741,0.8011679843063606,
COIN-Gaia_3,18.739,60.505,0.775,-2.431,-1.791,85,125.8250444209989,-2.234571838738859,48.97788838992469
COIN-Gaia_30,21.08,70.574,1.346,-6.145,2.067,90,125.68363003862086,7.8781290151993995,257.03948796691975
COIN-Gaia_31,21.307,61.135,0.381,-1.983,-0.526,18,126.9999410498042,-1.469579142875544,
COIN-Gaia_32,28.194,63.066,0.775,0.053,-2.195,17,129.81289162787837,1.016625367484016,363.07840557743333
